COD_CURSO;COD_DISCIPLINA;COD_TURMA;HR_INICIO;NOME_DISCIPLINA;VAGAS_OFERECIDAS;VAGAS_OCUPADAS;DIA_SEMANA;HR_FIM;TIPO_AULA;NUM_SALA
GEL;GEXT7503;222210;16:30:00;CÁLCULO VETORIAL;25;17;QUI;18:15:00;Teórica;L-21
GCIV;GEXT7503;720011;15:35:00;CÁLCULO VETORIAL;50;50;QUI;17:20:00;Teórica;L-31
GELT;GEXT7503;322210;16:30:00;CÁLCULO VETORIAL;25;12;QUI;18:15:00;Teórica;L-21
GMEC;GEXT7503;120264;10:50:00;CÁLCULO VETORIAL;50;50;QUI;12:35:00;Teórica;E-301
GPROD;GEXT7503;420064;10:50:00;CÁLCULO VETORIAL;50;29;QUA;12:35:00;Teórica;H-103
GTEL;GEXT7503;520173;13:35:00;CÁLCULO VETORIAL;25;15;QUI;15:20:00;Teórica;CAMPIII102
BCC;GCC1209;920010;18:20:00;CIÊNCIAS AMBIENTAIS;25;14;SEG;20:00:00;Teórica;PAV1SALA03
WEB;GTSI1425;680065;18:20:00;CIÊNCIAS AMBIENTAIS;30;21;SEG;20:00:00;Teórica;PAV1SALA02
GAUT;GEXT7201;654319;15:35:00;CIÊNCIAS DO AMBIENTE;20;8;QUI;17:20:00;Teórica;H-102
GEL;GEXT7201;242319;15:35:00;CIÊNCIAS DO AMBIENTE;25;17;QUI;17:20:00;Teórica;H-102
GCIV;GEXT7201;710007;13:35:00;CIÊNCIAS DO AMBIENTE;45;38;TER;15:20:00;Teórica;CAMPIII201
GELT;GEXT7201;342319;13:35:00;CIÊNCIAS DO AMBIENTE;25;18;QUI;15:20:00;Teórica;H-102
GMEC;GEXT7201;140002;15:35:00;CIÊNCIAS DO AMBIENTE;55;18;SEG;17:20:00;Teórica;E-307
GPROD;GEXT7201;440081;12:40:00;CIÊNCIAS DO AMBIENTE;55;44;SEG;14:25:00;Teórica;L-22
GTEL;GEXT7201;540319;15:35:00;CIÊNCIAS DO AMBIENTE;20;7;QUI;17:20:00;Teórica;H-102
GAUT;GELE7051;653029;12:40:00;CIRCUITOS ELÉTRICOS I;30;19;TER;16:25:00;Teórica;H-102
GAUT;GELE7051;653029;12:40:00;CIRCUITOS ELÉTRICOS I;30;19;SEG;14:25:00;Prática;SALA E-211
GELT;GELE7051;332290;12:40:00;CIRCUITOS ELÉTRICOS I;25;11;TER;16:25:00;Teórica;H-102
GELT;GELE7051;332290;15:35:00;CIRCUITOS ELÉTRICOS I;25;11;SEG;17:20:00;Prática;SALA E-211
GEL;GELE7051;232289;12:40:00;CIRCUITOS ELÉTRICOS I;30;11;TER;16:25:00;Teórica;H-102
GEL;GELE7051;232289;15:35:00;CIRCUITOS ELÉTRICOS I;30;11;SEG;17:20:00;Prática;SALA E-211
GTEL;GELE7051;530271;12:40:00;CIRCUITOS ELÉTRICOS I;50;20;SEG;14:25:00;Prática;SALA E-211
GTEL;GELE7051;530271;12:40:00;CIRCUITOS ELÉTRICOS I;50;20;TER;16:25:00;Teórica;H-102
GAUT;GELE7061;654034;12:40:00;CIRCUITOS ELÉTRICOS II;30;16;SEX;14:25:00;Prática;SALA E-211
